                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                  1.086,                0.97624,                 1.4149,                0.87218,                0.83401,                0.90411,                0.61443,                 1.0936,                0.74032,                 1.4972,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.0778,                0.97325,                 1.4079,                0.87187,                0.82389,                0.89668,                0.61561,                  1.103,                0.74309,                 1.4974,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.0751,                0.96146,                 1.4048,                0.87246,                0.85857,                0.90368,                0.62095,                 1.0946,                0.75415,                 1.4921,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.0815,                0.98662,                 1.4118,                0.89903,                0.81781,                0.88925,                0.62677,                 1.0639,                0.71902,                 1.4665,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.0629,                0.94425,                 1.3956,                0.90845,                0.82591,                0.90144,                0.62124,                 1.1044,                0.73311,                 1.5051,                0.00101,                0.00101,                0.00101
                     53,                 1.0526,                0.95123,                 1.3933,                0.86932,                0.83488,                0.89621,                0.62843,                 1.0752,                0.73044,                 1.4733,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.0679,                0.92492,                 1.4004,                0.87896,                0.83806,                0.90578,                0.63499,                 1.0724,                0.71964,                 1.4789,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.0605,                 0.9435,                 1.3863,                0.86325,                0.85223,                0.90455,                0.62683,                 1.0828,                0.72303,                 1.4777,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0394,                0.92122,                 1.3848,                0.86301,                0.85446,                0.90326,                0.61709,                 1.0943,                0.72206,                 1.4965,              0.0009308,              0.0009308,              0.0009308
                     57,                  1.048,                0.93384,                 1.3796,                0.86459,                0.84818,                0.90027,                0.63327,                 1.0658,                 0.7084,                 1.4677,               0.000911,               0.000911,               0.000911
                     58,                 1.0346,                0.91653,                 1.3725,                0.90927,                0.83176,                0.90625,                0.62961,                 1.0842,                0.69595,                 1.4827,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0373,                0.90466,                 1.3746,                0.86597,                0.85013,                0.89815,                0.62545,                 1.0704,                0.72379,                 1.4667,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0365,                0.89943,                 1.3729,                0.87391,                0.84413,                0.89917,                0.63295,                 1.0598,                0.67055,                   1.46,              0.0008516,              0.0008516,              0.0008516
