                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.85118,                0.90516,                  1.064,                0.69525,                 0.6689,                0.67797,                0.52153,                 1.3768,                 1.4798,                 1.3864,             0.00094085,             0.00094085,             0.00094085
                     47,                0.85572,                0.90338,                 1.0727,                0.68878,                0.67256,                0.68049,                0.53083,                  1.368,                 1.4922,                 1.3823,             0.00092435,             0.00092435,             0.00092435
                     48,                 0.8432,                0.88928,                 1.0654,                0.56209,                0.64849,                0.60416,                0.47291,                 1.3674,                 1.6222,                 1.3835,             0.00090785,             0.00090785,             0.00090785
                     49,                0.86878,                0.91974,                 1.0784,                 0.6841,                0.67706,                0.67944,                0.52522,                 1.3574,                 1.4878,                 1.3746,             0.00089134,             0.00089134,             0.00089134
                     50,                0.85062,                0.90663,                 1.0634,                0.61582,                 0.6353,                0.63262,                0.49151,                 1.3633,                 1.5908,                 1.4022,             0.00087484,             0.00087484,             0.00087484
                     51,                0.83404,                0.86696,                 1.0487,                0.69039,                0.66955,                0.68773,                0.53328,                 1.3476,                 1.4944,                 1.3876,             0.00085834,             0.00085834,             0.00085834
                     52,                0.83285,                0.86536,                 1.0572,                0.72816,                0.63433,                0.67043,                 0.5181,                  1.363,                 1.4853,                 1.3856,             0.00084184,             0.00084184,             0.00084184
                     53,                0.82768,                0.85746,                 1.0592,                0.67719,                0.65096,                0.64071,                0.50229,                 1.3507,                  1.531,                 1.3885,             0.00082533,             0.00082533,             0.00082533
                     54,                0.81599,                 0.8377,                 1.0441,                0.64723,                0.66823,                0.66742,                0.51553,                 1.3747,                 1.5062,                 1.3919,             0.00080883,             0.00080883,             0.00080883
                     55,                0.82291,                0.84179,                 1.0459,                0.68379,                0.66281,                 0.6482,                0.50608,                 1.3824,                 1.4687,                  1.397,             0.00079233,             0.00079233,             0.00079233
                     56,                0.81828,                0.83658,                 1.0493,                0.72804,                0.66519,                0.68266,                 0.5385,                 1.3423,                  1.481,                 1.3809,             0.00077582,             0.00077582,             0.00077582
                     57,                0.83271,                0.83902,                 1.0563,                0.66975,                 0.6735,                0.65991,                  0.522,                 1.3631,                  1.501,                 1.3941,             0.00075932,             0.00075932,             0.00075932
                     58,                 0.8226,                0.83517,                 1.0532,                0.68765,                0.65227,                0.66931,                0.52618,                 1.3601,                 1.4819,                 1.3784,             0.00074282,             0.00074282,             0.00074282
                     59,                0.82392,                0.82993,                 1.0524,                0.69182,                0.64702,                0.66636,                0.52263,                 1.3762,                 1.4988,                 1.4139,             0.00072631,             0.00072631,             0.00072631
                     60,                0.79499,                0.80151,                 1.0397,                 0.7493,                0.67551,                0.69659,                0.54962,                 1.3446,                 1.4247,                 1.3822,             0.00070981,             0.00070981,             0.00070981
                     61,                0.81558,                0.82136,                 1.0413,                0.69199,                0.68626,                0.68587,                0.53865,                 1.3641,                 1.4709,                 1.4025,             0.00069331,             0.00069331,             0.00069331
                     62,                0.80113,                0.80301,                 1.0419,                0.73033,                0.67813,                0.69132,                0.54497,                 1.3671,                 1.4288,                 1.4011,              0.0006768,              0.0006768,              0.0006768
                     63,                0.81522,                0.81769,                 1.0432,                0.67744,                0.67099,                0.67771,                 0.5298,                 1.3657,                  1.474,                 1.4009,              0.0006603,              0.0006603,              0.0006603
                     64,                0.80312,                  0.802,                 1.0355,                 0.7297,                 0.6834,                0.68994,                0.54943,                 1.3437,                 1.4493,                 1.3824,              0.0006438,              0.0006438,              0.0006438
                     65,                0.77586,                0.78034,                 1.0315,                0.71018,                 0.7071,                 0.6881,                0.53814,                 1.3558,                 1.4496,                 1.3772,             0.00062729,             0.00062729,             0.00062729
                     66,                0.79551,                0.78774,                 1.0359,                0.68555,                0.67371,                0.67238,                0.53145,                 1.3535,                 1.4555,                 1.3862,             0.00061079,             0.00061079,             0.00061079
                     67,                0.75596,                0.73985,                 1.0156,                 0.7329,                0.66869,                0.68409,                0.54275,                  1.352,                 1.4319,                 1.3949,             0.00059429,             0.00059429,             0.00059429
                     68,                 0.7613,                0.75084,                 1.0207,                0.68191,                0.67661,                0.67094,                0.52782,                 1.3671,                 1.4667,                 1.3983,             0.00057778,             0.00057778,             0.00057778
                     69,                0.78841,                0.76872,                 1.0335,                0.69259,                0.68693,                0.68151,                0.54229,                  1.351,                  1.454,                  1.387,             0.00056128,             0.00056128,             0.00056128
                     70,                0.76872,                0.75278,                  1.026,                0.70545,                0.68893,                0.68835,                0.54066,                 1.3455,                 1.4358,                 1.3932,             0.00054478,             0.00054478,             0.00054478
                     71,                0.75664,                0.74179,                  1.021,                0.70417,                0.66406,                0.67691,                0.53565,                 1.3352,                 1.4512,                 1.3703,             0.00052827,             0.00052827,             0.00052827
                     72,                 0.7564,                0.72684,                 1.0126,                0.74162,                0.68847,                0.70069,                0.55568,                 1.3399,                 1.4702,                  1.398,             0.00051177,             0.00051177,             0.00051177
                     73,                0.76262,                0.75409,                 1.0267,                0.71273,                0.68721,                0.69284,                0.55491,                 1.3294,                 1.4271,                  1.379,             0.00049527,             0.00049527,             0.00049527
                     74,                0.75975,                0.74001,                 1.0168,                0.71171,                0.65306,                0.66286,                0.53026,                 1.3458,                 1.4571,                 1.3836,             0.00047876,             0.00047876,             0.00047876
                     75,                0.75011,                0.71461,                 1.0111,                0.68349,                0.68736,                0.67985,                 0.5432,                 1.3421,                 1.4391,                 1.3759,             0.00046226,             0.00046226,             0.00046226
                     76,                0.75586,                0.72946,                 1.0142,                0.70643,                0.69044,                0.68847,                0.54955,                  1.332,                 1.4245,                 1.3782,             0.00044576,             0.00044576,             0.00044576
