                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                  0.973,                0.85247,                 1.3164,                0.80795,                0.68455,                0.76234,                0.44665,                 1.6534,                 1.1653,                 2.0267,             0.00054478,             0.00054478,             0.00054478
                    105,                 1.0012,                0.86606,                 1.3463,                0.82092,                0.66873,                0.75596,                0.44426,                 1.6639,                 1.1679,                 2.0238,             0.00053377,             0.00053377,             0.00053377
                    106,                0.92603,                0.80804,                 1.3015,                0.79534,                 0.7017,                0.75749,                0.44715,                  1.691,                 1.2135,                 2.0824,             0.00052277,             0.00052277,             0.00052277
                    107,                0.96429,                0.84665,                 1.3142,                0.81666,                 0.6873,                0.76386,                0.44682,                   1.69,                 1.1645,                 2.0662,             0.00051177,             0.00051177,             0.00051177
                    108,                0.94365,                0.83121,                 1.3058,                0.80335,                0.69897,                0.77309,                0.45608,                 1.6533,                 1.1461,                 2.0364,             0.00050077,             0.00050077,             0.00050077
                    109,                0.94078,                0.80527,                  1.287,                0.83319,                0.67278,                0.76404,                0.45091,                 1.6678,                 1.1778,                  2.067,             0.00048976,             0.00048976,             0.00048976
                    110,                0.98098,                0.83516,                 1.3178,                0.81425,                0.70368,                0.77495,                0.45809,                 1.6597,                 1.1493,                 2.0275,             0.00047876,             0.00047876,             0.00047876
                    111,                0.94192,                0.80934,                 1.2885,                0.78962,                0.71642,                 0.7691,                 0.4536,                  1.671,                 1.1523,                 2.0634,             0.00046776,             0.00046776,             0.00046776
                    112,                0.92689,                0.81354,                 1.2965,                0.81751,                0.69494,                0.77292,                 0.4569,                 1.6621,                 1.1314,                 2.0595,             0.00045676,             0.00045676,             0.00045676
                    113,                0.93122,                0.79212,                 1.2931,                0.82372,                0.70076,                0.77215,                0.46204,                 1.6525,                 1.1788,                 2.0473,             0.00044576,             0.00044576,             0.00044576
                    114,                0.93317,                0.79555,                 1.2975,                0.81389,                0.69458,                0.77055,                0.45583,                 1.6619,                 1.1329,                 2.0388,             0.00043475,             0.00043475,             0.00043475
                    115,                0.93403,                0.81204,                 1.3076,                0.84237,                0.69253,                0.76814,                0.45604,                 1.6577,                  1.143,                 2.0425,             0.00042375,             0.00042375,             0.00042375
                    116,                0.93936,                0.81428,                 1.2969,                0.82335,                0.69822,                0.76901,                0.46127,                 1.6445,                 1.1588,                 2.0342,             0.00041275,             0.00041275,             0.00041275
                    117,                0.92444,                0.79493,                  1.285,                0.81919,                0.68111,                0.76579,                0.45966,                 1.6388,                 1.1571,                 2.0297,             0.00040175,             0.00040175,             0.00040175
                    118,                0.88417,                0.76227,                 1.2584,                0.81797,                0.71314,                0.78402,                0.46822,                 1.6417,                 1.1355,                 2.0234,             0.00039074,             0.00039074,             0.00039074
                    119,                 0.9174,                0.79391,                 1.2771,                0.81086,                0.70331,                0.77718,                0.46205,                 1.6533,                 1.1257,                 2.0437,             0.00037974,             0.00037974,             0.00037974
                    120,                0.90901,                0.77246,                 1.2735,                0.80387,                0.71915,                0.77054,                0.45932,                 1.6469,                 1.1325,                 2.0608,             0.00036874,             0.00036874,             0.00036874
                    121,                0.90123,                0.76116,                 1.2626,                0.83264,                0.67346,                0.76977,                0.45877,                 1.6373,                 1.1191,                  2.026,             0.00035774,             0.00035774,             0.00035774
                    122,                0.90147,                0.76786,                 1.2761,                0.83019,                0.67091,                0.76431,                0.45676,                 1.6379,                 1.1323,                 2.0197,             0.00034674,             0.00034674,             0.00034674
                    123,                0.90058,                 0.7861,                 1.2672,                0.81697,                0.70149,                0.78012,                0.46705,                 1.6449,                 1.1155,                 2.0368,             0.00033573,             0.00033573,             0.00033573
                    124,                0.88166,                0.74967,                 1.2577,                 0.8405,                0.68875,                0.77287,                0.46152,                 1.6566,                 1.1185,                 2.0685,             0.00032473,             0.00032473,             0.00032473
                    125,                0.89111,                0.74271,                 1.2511,                0.80789,                0.69963,                0.77055,                 0.4626,                 1.6437,                 1.1297,                 2.0483,             0.00031373,             0.00031373,             0.00031373
                    126,                0.86929,                0.73743,                 1.2408,                0.80519,                 0.6964,                0.76844,                0.46261,                 1.6551,                 1.1402,                 2.0468,             0.00030273,             0.00030273,             0.00030273
                    127,                0.86814,                0.73355,                 1.2583,                0.82317,                0.70149,                0.78043,                0.46938,                 1.6524,                  1.116,                 2.0526,             0.00029172,             0.00029172,             0.00029172
                    128,                0.87638,                0.72553,                 1.2491,                0.80234,                0.70635,                0.77453,                0.46511,                 1.6423,                 1.1157,                 2.0426,             0.00028072,             0.00028072,             0.00028072
                    129,                0.86683,                0.75012,                 1.2573,                0.82691,                0.68657,                0.76927,                0.46511,                 1.6351,                 1.1351,                 2.0338,             0.00026972,             0.00026972,             0.00026972
                    130,                0.86308,                0.72607,                 1.2414,                0.80265,                0.70404,                0.77099,                 0.4652,                 1.6441,                  1.124,                 2.0381,             0.00025872,             0.00025872,             0.00025872
                    131,                0.84648,                0.73848,                 1.2432,                0.83073,                0.70768,                0.78044,                0.47142,                 1.6229,                 1.1165,                 2.0218,             0.00024772,             0.00024772,             0.00024772
                    132,                0.86608,                0.74976,                 1.2423,                0.83506,                0.69858,                0.77089,                0.46423,                 1.6387,                  1.132,                 2.0513,             0.00023671,             0.00023671,             0.00023671
                    133,                0.84325,                0.72294,                 1.2333,                0.82894,                0.69683,                0.77276,                0.46656,                 1.6468,                 1.1326,                 2.0557,             0.00022571,             0.00022571,             0.00022571
                    134,                0.82434,                0.71162,                 1.2283,                0.79557,                0.71967,                0.77707,                0.46871,                 1.6342,                 1.1106,                 2.0411,             0.00021471,             0.00021471,             0.00021471
                    135,                0.85107,                0.73235,                 1.2378,                0.82465,                0.70914,                0.77666,                0.46832,                 1.6269,                 1.1202,                 2.0349,             0.00020371,             0.00020371,             0.00020371
                    136,                0.84568,                0.72472,                 1.2228,                0.80827,                0.71969,                0.77802,                0.46912,                 1.6263,                 1.1086,                 2.0391,             0.00019271,             0.00019271,             0.00019271
                    137,                0.86159,                0.73325,                 1.2429,                0.82496,                0.70404,                0.78034,                0.47104,                 1.6257,                 1.1144,                 2.0416,              0.0001817,              0.0001817,              0.0001817
                    138,                0.81115,                0.68718,                 1.2106,                0.81757,                0.72697,                0.78768,                0.47851,                 1.6105,                 1.1113,                 2.0353,              0.0001707,              0.0001707,              0.0001707
                    139,                0.84053,                0.71226,                  1.229,                0.81834,                0.71533,                0.78313,                0.47464,                 1.6154,                 1.1082,                 2.0401,              0.0001597,              0.0001597,              0.0001597
                    140,                0.81761,                0.69523,                 1.2214,                0.83001,                0.71101,                0.78397,                0.47242,                 1.6231,                 1.1052,                 2.0459,              0.0001487,              0.0001487,              0.0001487
                    141,                  0.776,                0.58001,                 1.2357,                0.80741,                0.71642,                0.77191,                 0.4645,                 1.6315,                 1.1146,                 2.0614,             0.00013769,             0.00013769,             0.00013769
                    142,                 0.7616,                0.53571,                 1.2088,                0.82489,                 0.7186,                0.78616,                0.47077,                 1.6079,                 1.0839,                 2.0301,             0.00012669,             0.00012669,             0.00012669
                    143,                0.74579,                0.50689,                 1.2022,                0.81866,                0.70368,                 0.7781,                0.47144,                 1.6102,                 1.1071,                 2.0421,             0.00011569,             0.00011569,             0.00011569
                    144,                0.71949,                0.50059,                 1.1806,                0.82081,                0.70369,                 0.7799,                0.47539,                 1.6033,                 1.0983,                 2.0352,             0.00010469,             0.00010469,             0.00010469
                    145,                0.72232,                0.49981,                 1.1874,                0.80998,                0.72188,                0.78466,                0.47461,                 1.6037,                 1.0875,                  2.037,             9.3685e-05,             9.3685e-05,             9.3685e-05
                    146,                0.70523,                0.48378,                 1.1715,                0.82332,                0.71077,                0.77973,                0.47414,                 1.6033,                 1.0923,                 2.0418,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    147,                0.68768,                  0.471,                 1.1586,                0.82451,                0.71605,                0.78516,                0.47647,                 1.6008,                 1.0868,                   2.05,             7.1681e-05,             7.1681e-05,             7.1681e-05
                    148,                0.69146,                0.47001,                 1.1628,                0.82744,                0.71569,                0.78424,                0.47794,                 1.5996,                 1.0833,                 2.0532,             6.0679e-05,             6.0679e-05,             6.0679e-05
                    149,                0.69737,                0.47005,                 1.1658,                0.83273,                0.70877,                0.78785,                0.47843,                    1.6,                 1.0829,                 2.0534,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    150,                0.68219,                0.46393,                 1.1564,                0.81809,                 0.7146,                0.78427,                0.47692,                  1.602,                 1.0852,                 2.0565,             3.8674e-05,             3.8674e-05,             3.8674e-05
